path,label,group,width,height,sha256,pixel_sha256,phash,split_group,split,role
Amravati_Region_Basil_Plant_Healthy/Good.jpeg,Healthy,,247,520,ba14af3c8c2a7e116f82558880691560f109b78f09cd9e7a9348b355451e98ea,a6d51fad58b9b0de534ed0be93e6b1d7de641c79d7f22e86d8aff4fd5eba0ba9,7418888902149027737,group-00000,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.49 (1).jpeg,Healthy,,247,520,acb910eed36135f407a82174d7b7be4c21a1ced734a8ca3e2db2a7ef8f695009,4d76041a9e14b1d325066cc0af834e639d4da329b743fa3c3c925561cdf71243,2186609313400238705,group-00001,development,val
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.49.jpeg,Healthy,,247,520,7b20e2298a5ed4bc00fd4f90f61d082bcf76b373b5ccb75780c00d81550bd86c,384b3e4f08f2a4ba1524837b2fb6a1798f4eddc9a028232f88bec2bddf81eb3b,1594713080396127713,group-00002,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.50 (1).jpeg,Healthy,,247,520,c08c42718815520b58e627e9d35d5bd3ebc4ff8fa2a5d88483618bc6a64ecd98,8687efc0c3dc15c180fe133496c4acda490328b125e57e8c19b6b7d678f848d2,6426158265987107765,group-00003,test,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.50.jpeg,Healthy,,247,520,fd7d25a773bd6e85f4e838f20e11e0f9ac0f9db758ccfd20bf5f511f7d09e1ba,3b4dd86501e6ff666e73fb90711e68b79336d2230fa074156085fb1fb201c19f,413456733307165773,group-00004,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.51 (1).jpeg,Healthy,,247,520,576e602b69f72f41e20fd25028e7421568e51c2656e5a435d8f1548cc2a8e387,4c1d88c6fcf9b039460c631493fd893661746cdecb92535a92673c3665c01fd4,3904281451378641845,group-00005,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.51.jpeg,Healthy,,247,520,60e4481f58772b3fc88e73463bf88e62eb379db9bbd5faffe888d80c2f266ec4,5a2115b204acbc520db630f8ed3d4879661977f9a2f87d31906930754ad6b71e,3942032350168357781,group-00006,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.52.jpeg,Healthy,,247,520,db9fb7e67062a6ec865f25bcccf904f59c7fb31d5d118d7a5fbccd542479da22,6d6e7576e04c3d89d4bccb9c18255aa61f686ba648da287c601c234e2ba08845,7036441662890319496,group-00007,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.01.jpeg,Healthy,,520,247,e88382434da7dd271e05dcd39e38063e1867567364557e89dedf6dd2dd74c4ad,c514edb11786efca22103988b615c19da3c6c6c908b76453e68e9ffdacdfd196,7232912810377643917,group-00008,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.02 (1).jpeg,Healthy,,247,520,3a2b44c5046b4be24ddb1995bbc694e6343c9a6e8314521f023fd8643ede0ad7,18bcb72c50349ef18ec56491e758fafa13bdecc2f75dfcc58951cfd9884d6af4,7073323395850834919,group-00009,test,test
