path,label,width,height,pixel_sha256,phash,split_group,split
Amravati_Region_Basil_Plant_Healthy/Good.jpeg,Healthy,247,520,a6d51fad58b9b0de534ed0be93e6b1d7de641c79d7f22e86d8aff4fd5eba0ba9,7418888902149027737,group-00000,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.49 (1).jpeg,Healthy,247,520,4d76041a9e14b1d325066cc0af834e639d4da329b743fa3c3c925561cdf71243,2186609313400238705,group-00001,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.49.jpeg,Healthy,247,520,384b3e4f08f2a4ba1524837b2fb6a1798f4eddc9a028232f88bec2bddf81eb3b,1594713080396127713,group-00002,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.50 (1).jpeg,Healthy,247,520,8687efc0c3dc15c180fe133496c4acda490328b125e57e8c19b6b7d678f848d2,6426158265987107765,group-00003,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.50.jpeg,Healthy,247,520,3b4dd86501e6ff666e73fb90711e68b79336d2230fa074156085fb1fb201c19f,413456733307165773,group-00004,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.51 (1).jpeg,Healthy,247,520,4c1d88c6fcf9b039460c631493fd893661746cdecb92535a92673c3665c01fd4,3904281451378641845,group-00005,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.51.jpeg,Healthy,247,520,5a2115b204acbc520db630f8ed3d4879661977f9a2f87d31906930754ad6b71e,3942032350168357781,group-00006,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.52.jpeg,Healthy,247,520,6d6e7576e04c3d89d4bccb9c18255aa61f686ba648da287c601c234e2ba08845,7036441662890319496,group-00007,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.01.jpeg,Healthy,520,247,c514edb11786efca22103988b615c19da3c6c6c908b76453e68e9ffdacdfd196,7232912810377643917,group-00008,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.02 (1).jpeg,Healthy,247,520,18bcb72c50349ef18ec56491e758fafa13bdecc2f75dfcc58951cfd9884d6af4,7073323395850834919,group-00009,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.03.jpeg,Healthy,247,520,bab13a5f734f613e3f43d075ced5ea37c07fcef32f5028383a55232451c5164a,1413582487803031875,group-00011,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.04.jpeg,Healthy,247,520,9aaf260f1c1d7702719eda94dd5b7bf79c901a81d52c20fce1d0c67b21b91bf9,16813860223130002,group-00012,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.05 (1).jpeg,Healthy,247,520,b763de1486096527b47d03affa1d7f41ffaff0da8b9fa3f542b5cc4148207096,6519034844587192537,group-00013,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.05.jpeg,Healthy,247,520,de4a3ee4eda46cf754c34d6fecc3298d3b4b31e989ed04cedd9b01667aedfcb1,928917241357808293,group-00014,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.06 (1).jpeg,Healthy,520,247,1a661804c39dca52a0fbfe0ed3a556e1602e60825ccc4105d09ed68173feab24,4481294828022597527,group-00015,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.06 (2).jpeg,Healthy,520,247,03524c7d2819d5b69f079ce17198ed86f2d9f4425372b68f716b4c3aae88d46a,3498857871607327286,group-00016,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.06.jpeg,Healthy,247,520,23d8b25ca3983afb8c48558e2d40bd2f35e74a8789f4545e771c36f286a1305b,7569515456188525772,group-00017,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.07.jpeg,Healthy,520,247,48ed96f01908df5557dabc292b5a13a1bfe09d0dde3cba2e7e3fbab869fc2977,3741499131843259528,group-00018,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.08 (1).jpeg,Healthy,247,520,16c1ca2f2811e0deee283a3af699f81d385a0aa64c4e2850ebaf46cb497eed6e,5318790423925631660,group-00019,development
