path,label,split_group,split
Amravati_Region_Basil_Plant_Healthy/Good.jpeg,Healthy,group-00000,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.49 (1).jpeg,Healthy,group-00001,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.49.jpeg,Healthy,group-00002,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.50 (1).jpeg,Healthy,group-00003,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.50.jpeg,Healthy,group-00004,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.51 (1).jpeg,Healthy,group-00005,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.51.jpeg,Healthy,group-00006,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.52.jpeg,Healthy,group-00007,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.01.jpeg,Healthy,group-00008,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.02 (1).jpeg,Healthy,group-00009,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.03.jpeg,Healthy,group-00011,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.04.jpeg,Healthy,group-00012,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.05 (1).jpeg,Healthy,group-00013,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.05.jpeg,Healthy,group-00014,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.06 (1).jpeg,Healthy,group-00015,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.06 (2).jpeg,Healthy,group-00016,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.06.jpeg,Healthy,group-00017,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.07.jpeg,Healthy,group-00018,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.08 (1).jpeg,Healthy,group-00019,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.08.jpeg,Healthy,group-00020,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.49.46.jpeg,Healthy,group-00021,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.49.52.jpeg,Healthy,group-00022,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.51.25.jpeg,Healthy,group-00023,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.51.43.jpeg,Healthy,group-00024,development
