model,fold,train,validation,macro_f1
Majority baseline,1,478,239,0.3379501385041551
Majority baseline,2,478,239,0.3379501385041551
Majority baseline,3,478,239,0.3379501385041551
Logistic regression C=0.1,1,478,239,0.9205020920502092
Logistic regression C=0.1,2,478,239,0.9079481792717087
Logistic regression C=0.1,3,478,239,0.916304804594481
Logistic regression C=1.0,1,478,239,0.9246848739495799
Logistic regression C=1.0,2,478,239,0.9079481792717087
Logistic regression C=1.0,3,478,239,0.9204965246774165
RBF SVM C=1.0,1,478,239,0.9623008570376992
RBF SVM C=1.0,2,478,239,0.9287905077378762
RBF SVM C=1.0,3,478,239,0.9245792426367461
RBF SVM C=10.0,1,478,239,0.974859747545582
RBF SVM C=10.0,2,478,239,0.9372209088521145
RBF SVM C=10.0,3,478,239,0.9497476871320437
Random forest,1,478,239,0.9706599323056417
Random forest,2,478,239,0.9580348363534205
Random forest,3,478,239,0.9622479246011548
5-nearest neighbors,1,478,239,0.9079094857783383
5-nearest neighbors,2,478,239,0.8661064425770308
5-nearest neighbors,3,478,239,0.8995657655133773
