PC1,PC2,PC3,PC4,PC5,label
4.9549084,-0.11116792,-1.0907487,0.9887753,0.71919274,Healthy
2.9776402,1.0466719,0.23909312,0.582651,2.1530342,Healthy
3.7777264,-3.271911,0.17095126,-0.49169424,-0.4618636,Healthy
6.410125,1.2995008,-1.6119454,0.8011873,0.17774235,Healthy
7.076272,-1.4479537,-1.6719202,-0.052144833,0.20301926,Healthy
5.5173125,3.8979957,-0.5673318,1.6612515,0.12629075,Healthy
4.920791,-3.2962086,-0.08096945,-0.59755033,-0.27535543,Healthy
-2.1735902,0.73421156,-0.19682355,-0.33082873,0.10643496,Healthy
2.3966537,1.514036,0.042737342,0.04024987,-0.61911774,Healthy
1.1719385,-0.3905459,0.98873335,-0.7795216,0.12303598,Healthy
-3.2933993,-0.65528816,2.9557326,0.70122844,0.32109818,Healthy
8.080751,1.1802826,-2.3497152,0.3390131,0.6000406,Healthy
1.2209499,0.961008,0.25538778,-0.25381738,-1.1701365,Healthy
2.5439863,0.031306908,0.02893181,-0.045554694,-1.1629322,Healthy
6.266259,1.114494,-0.11289514,-0.5424598,0.78757596,Healthy
1.5158664,-0.17305727,0.30223283,0.88724405,-1.4662561,Healthy
0.1827926,0.7645561,-0.24173702,0.6551743,1.1066016,Healthy
-3.7849813,0.17697713,-1.0180646,0.11926679,-0.44834727,Healthy
2.0494554,0.08684894,-1.0742288,-0.31916052,-1.1465633,Healthy
4.112321,-2.328571,1.0983565,-1.2717968,-1.073796,Healthy
7.0591383,-0.1623938,0.0176151,-0.95781755,0.09483851,Healthy
1.7470622,0.43925568,-0.36543167,-1.5339946,-1.7410951,Healthy
-3.2801902,-0.5004574,-0.2933322,1.242577,0.21846087,Healthy
3.6383145,-2.5617182,-0.33207488,0.12950185,0.6483682,Healthy
1.1652149,-0.56418025,2.3693652,0.71782386,-0.26740208,Healthy
6.6362014,-1.5170099,-1.0430529,-1.6382157,0.60480285,Healthy
6.160913,0.2891518,-1.4034721,0.22586071,0.38424912,Healthy
-2.2600381,0.2942875,0.028272044,1.5089988,0.99343765,Healthy
5.5574284,-1.729768,-0.7071291,-1.5796952,1.6454097,Healthy
-4.1310368,-0.27614573,2.8946426,-0.43764725,-0.5080049,Healthy
1.7177453,-2.1683872,-0.07998726,0.9221439,-0.9002071,Healthy
5.068353,2.6502063,0.30495936,0.2132305,-1.9814156,Healthy
6.9304447,3.1029878,-1.4343531,1.2169726,0.78429955,Healthy
4.979666,-2.2779562,-0.0056386166,-0.40547165,-1.1223327,Healthy
3.6328688,-1.3964262,-0.2805069,-0.17990422,-0.6841182,Healthy
5.8636646,-2.1787865,-0.83864266,-0.9973812,-0.20501365,Healthy
0.4710577,1.4452178,1.2500397,-0.71989304,-1.9175832,Healthy
4.709153,-0.8842752,-0.67505115,-0.58861697,0.31115493,Healthy
6.4454155,2.0450866,-0.24932171,0.58877474,0.19618618,Healthy
4.482612,-4.1726246,-0.1313487,-0.2414099,0.034590807,Healthy
-0.4454971,-0.67391723,3.3059273,0.5872287,-0.28695306,Healthy
1.4561108,-0.17462339,0.2793586,0.80099905,-1.4469739,Healthy
7.655755,1.1114571,-1.84629,1.3205619,0.55146754,Healthy
6.757457,-0.23585336,-1.8650501,0.13228455,1.0008048,Healthy
-0.46473202,0.62193435,-0.091259815,0.99233437,-0.22405867,Healthy
2.163507,-2.5558581,0.644504,-0.68830675,-0.13006215,Healthy
1.098916,0.5652663,1.2797836,0.72551954,-0.44916478,Healthy
4.426312,-0.46276802,-0.7305892,-0.66730195,-0.93523246,Healthy
0.08628742,0.142157,0.5007068,-0.4754113,-0.013798099,Healthy
5.0745287,-0.70666796,-1.2060349,0.63539463,0.65332395,Healthy
-0.99332845,0.50153345,0.05498561,0.54719025,-0.23282461,Healthy
-0.8505247,0.8708579,0.081109226,-1.0561255,0.22527316,Healthy
3.8991606,-1.7677119,-0.091583736,-1.6071991,-0.09733468,Healthy
-0.53361887,0.7361081,-0.25241157,1.2916635,1.1045917,Healthy
8.150743,-1.5348297,-2.530263,-0.43109348,-0.046967313,Healthy
-4.0150313,0.43475065,-0.19251218,0.12338038,-1.6023997,Healthy
7.6148047,0.14666079,-0.0009052634,-0.42907906,-0.74570113,Healthy
0.38660738,-0.34736687,1.6039016,0.3529878,-0.6657533,Healthy
2.967471,2.9759085,0.60488063,1.1373594,-0.78749067,Healthy
2.1274374,-2.5627565,0.75980175,-0.512662,-0.14446577,Healthy
0.15444517,0.64798903,-0.96621704,-1.6805404,0.6654531,Healthy
8.940281,1.6824385,-1.8644189,0.5869169,-0.10527656,Healthy
4.5156035,-3.2342727,0.0046363864,-0.4351109,0.520846,Healthy
7.0605307,-0.6726378,-1.0886185,-0.56128263,0.115596086,Healthy
6.036128,0.6761472,0.116695486,-0.36885157,0.864885,Healthy
4.086166,-3.1488879,3.0055988,-0.5022805,-0.22637331,Healthy
5.837279,-0.40690964,-1.1532612,-0.9617037,-0.41773406,Healthy
0.3109225,1.2568469,0.020629117,0.82443047,2.4059606,Healthy
0.95033395,1.762963,0.63431865,-0.7878513,-2.5054767,Healthy
4.811755,-0.25154412,-0.28300232,-0.35190892,0.9660238,Healthy
0.5322444,0.9458494,0.2659781,0.9022994,3.556805,Healthy
6.7279177,-2.9307764,0.17721736,-1.1339319,-0.9670968,Healthy
6.6928463,-0.3045117,-2.1007152,0.5857762,0.14683694,Healthy
-3.995059,-0.49232706,-0.30668855,1.0968952,-0.09495848,Healthy
-2.0057905,0.72843564,-0.34264284,0.9622054,-1.555335,Healthy
7.6684623,-0.5957186,-0.66635114,-0.8264291,-0.13798855,Healthy
0.316032,-0.91698444,0.06529096,0.7445521,-1.1266598,Healthy
4.386591,0.75721,0.2927494,-0.34915432,0.2215885,Healthy
-2.184048,-0.44742647,3.0790527,0.960638,0.063547954,Healthy
1.9114343,2.2951565,0.14841433,1.1578901,0.94704694,Healthy
6.5673113,1.2130562,-0.17034866,-0.43524975,0.63772774,Healthy
5.9188404,-3.2337806,-0.32568216,-1.1065803,-0.3721407,Healthy
1.7242461,-1.0862626,-0.002477542,0.70831484,-0.8383843,Healthy
2.795229,0.15516098,2.5776298,0.55634606,-0.86849684,Healthy
-1.0466238,0.9848555,0.07842232,-1.206601,-0.07257891,Healthy
3.240181,-3.6033006,3.1547654,-0.729752,-0.026234156,Healthy
5.5641427,-0.64746606,-1.7796489,0.3938294,1.0276588,Healthy
2.1723475,1.3034089,0.2251555,0.33706632,-0.5888524,Healthy
1.0717913,0.56497115,0.97968787,0.76304805,-0.45879805,Healthy
1.9557916,-0.88923305,0.59878874,-0.16765444,-0.25680566,Healthy
-5.353883,-0.0024630234,-0.5113303,1.1453468,-1.178835,Healthy
1.591056,-1.0331696,-0.12881504,0.2583613,-0.17042251,Healthy
