path,folder,label,region,filename,extension,file_bytes,width,height,aspect_ratio,pixels,sha256,pixel_sha256,mean_r,mean_g,mean_b,label_encoded,region_encoded,region_Amravati,region_Nagpur,region_Pune,region_Unknown
Amravati_Region_Basil_Plant_Healthy/Good.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,Good.jpeg,.jpeg,13516,247,520,0.475,128440,ba14af3c8c2a7e116f82558880691560f109b78f09cd9e7a9348b355451e98ea,a6d51fad58b9b0de534ed0be93e6b1d7de641c79d7f22e86d8aff4fd5eba0ba9,138.49052475864218,150.7245639987543,87.98470881345375,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.49 (1).jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-04 at 21.00.49 (1).jpeg,.jpeg,15617,247,520,0.475,128440,acb910eed36135f407a82174d7b7be4c21a1ced734a8ca3e2db2a7ef8f695009,4d76041a9e14b1d325066cc0af834e639d4da329b743fa3c3c925561cdf71243,64.0261678604796,73.44002647150421,25.138889753970727,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.49.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-04 at 21.00.49.jpeg,.jpeg,10734,247,520,0.475,128440,7b20e2298a5ed4bc00fd4f90f61d082bcf76b373b5ccb75780c00d81550bd86c,384b3e4f08f2a4ba1524837b2fb6a1798f4eddc9a028232f88bec2bddf81eb3b,96.30119900342572,101.5342883836811,50.05521644347555,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.50 (1).jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-04 at 21.00.50 (1).jpeg,.jpeg,15013,247,520,0.475,128440,c08c42718815520b58e627e9d35d5bd3ebc4ff8fa2a5d88483618bc6a64ecd98,8687efc0c3dc15c180fe133496c4acda490328b125e57e8c19b6b7d678f848d2,111.34169261912176,118.68193709124884,49.6864216754905,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.50.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-04 at 21.00.50.jpeg,.jpeg,16578,247,520,0.475,128440,fd7d25a773bd6e85f4e838f20e11e0f9ac0f9db758ccfd20bf5f511f7d09e1ba,3b4dd86501e6ff666e73fb90711e68b79336d2230fa074156085fb1fb201c19f,77.81665369043911,83.67992058548738,33.55785580815945,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.51 (1).jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-04 at 21.00.51 (1).jpeg,.jpeg,13541,247,520,0.475,128440,576e602b69f72f41e20fd25028e7421568e51c2656e5a435d8f1548cc2a8e387,4c1d88c6fcf9b039460c631493fd893661746cdecb92535a92673c3665c01fd4,101.78861725319216,97.51684833385238,50.73575210214887,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.51.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-04 at 21.00.51.jpeg,.jpeg,12122,247,520,0.475,128440,60e4481f58772b3fc88e73463bf88e62eb379db9bbd5faffe888d80c2f266ec4,5a2115b204acbc520db630f8ed3d4879661977f9a2f87d31906930754ad6b71e,93.92760043600124,105.0165991902834,41.5051775147929,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-04 at 21.00.52.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-04 at 21.00.52.jpeg,.jpeg,14900,247,520,0.475,128440,db9fb7e67062a6ec865f25bcccf904f59c7fb31d5d118d7a5fbccd542479da22,6d6e7576e04c3d89d4bccb9c18255aa61f686ba648da287c601c234e2ba08845,90.62759265026472,89.76254282155092,45.91322018062909,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.01.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 10.53.01.jpeg,.jpeg,17341,520,247,2.1052631578947367,128440,e88382434da7dd271e05dcd39e38063e1867567364557e89dedf6dd2dd74c4ad,c514edb11786efca22103988b615c19da3c6c6c908b76453e68e9ffdacdfd196,125.40889909685455,140.7284802242292,99.7272111491747,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.02 (1).jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 10.53.02 (1).jpeg,.jpeg,12183,247,520,0.475,128440,3a2b44c5046b4be24ddb1995bbc694e6343c9a6e8314521f023fd8643ede0ad7,18bcb72c50349ef18ec56491e758fafa13bdecc2f75dfcc58951cfd9884d6af4,135.81227810650887,154.2183198380567,107.51509654313298,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.03.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 10.53.03.jpeg,.jpeg,11649,247,520,0.475,128440,6feea6cde32f7f2877f5443e1e59a53925a89e414c7e09447e51ae79d4934638,bab13a5f734f613e3f43d075ced5ea37c07fcef32f5028383a55232451c5164a,118.97374649641856,147.18737153534724,76.63619588913112,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.04.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 10.53.04.jpeg,.jpeg,14158,247,520,0.475,128440,7cd8c951cbcdd158511cdf509e5dd5645c2f0d9f491338704b4e10034ba7edbf,9aaf260f1c1d7702719eda94dd5b7bf79c901a81d52c20fce1d0c67b21b91bf9,124.23893646838992,148.78545624416068,84.81726097788851,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.05 (1).jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 10.53.05 (1).jpeg,.jpeg,13614,247,520,0.475,128440,566000db6222be1a5fccf7ebad863f6c2ce5c72aad9ee367cb82f82d1ca86b33,b763de1486096527b47d03affa1d7f41ffaff0da8b9fa3f542b5cc4148207096,134.35345686701962,171.21051853005295,88.63082373092494,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.05.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 10.53.05.jpeg,.jpeg,11643,247,520,0.475,128440,cee1e2cae99bb06ded396500b3e7a84d2f8459ce6e1972cf44a84da1029d15b4,de4a3ee4eda46cf754c34d6fecc3298d3b4b31e989ed04cedd9b01667aedfcb1,114.39740734973527,141.213702896294,70.25787916536905,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.06 (1).jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 10.53.06 (1).jpeg,.jpeg,14975,520,247,2.1052631578947367,128440,23f40707e481fa56bdb9efee6ee252aab8e321b77ab263b7342973e354296b99,1a661804c39dca52a0fbfe0ed3a556e1602e60825ccc4105d09ed68173feab24,169.56251946434134,154.01856898162566,103.18532388663968,0,0,True,False,False,False
